number;new_version;baseline;date;message
69;ddc80227;f6114345; Mon May 31 09:21:23 2021 +0300; fixes solaris build (#1345)
68;f0c21b63;f6114345; Thu May 27 14:52:44 2021 +0300; lib/promscrape: apply body size & sample limit to stream parse (#1331)
67;2bbb1cc7;f6114345; Wed May 26 12:28:58 2021 +0300; Docs review (#1330)
66;7ecaa2fe;f6114345; Wed May 26 12:26:45 2021 +0300; update the issue template (#1329)
65;d210958f;f6114345; Tue May 25 14:27:22 2021 +0100; vmalert: automatically reload configuration on file change (#1326)
64;c78d7dde;f6114345; Mon May 24 23:20:38 2021 +0300; Fix quote difference on label_move example (#1321)
63;84cc0513;f6114345; Sun May 23 00:26:01 2021 +0300; vmalert: support `extra_filter_labels` setting per-group (#1319)
62;5b8176c6;f6114345; Sat May 22 16:20:18 2021 +0300; basic OAuth2 support for remoteWrite and scrape targets (#1316)
61;d626c5c2;f6114345; Fri May 21 13:55:43 2021 +0300; changes vmalert query function (#1307)
60;dcf8803b;f6114345; Thu May 20 12:03:16 2021 +0300; vmctl: explicitly set `::tag` type for labels selector in `influx` mode (#1310)
59;e8a6c692;f6114345; Tue May 18 16:37:28 2021 +0300; app/{vmbackup,vmrestore},docs/vmrestore.md: typo fix: vbackup -> vmbackup (#1305)
58;b96b19f0;f6114345; Sun May 16 18:43:09 2021 +0100; Docs update from victoriaMetrics.github.io (#1302)
57;b38edec7;f6114345; Sat May 15 13:25:57 2021 +0300; vmalert: use stringified label keys for duplicates map in recroding rules (#1301)
56;b4f5be8b;f6114345; Thu May 13 11:14:51 2021 +0300; fix vagent imbalance problem (#1292)
55;b5002481;f6114345; Thu May 13 09:02:13 2021 +0300; adds cgroupsv2 support (#1283)
54;8a067867;f6114345; Wed May 12 15:18:45 2021 +0300; Adds tsdb match filters (#1282)
53;c6875369;f6114345; Mon May 10 11:38:56 2021 +0300; Add vendor license checker, update codecov action, add dependbot for â€¦ (#1280)
52;5c448126;f6114345; Mon May 10 11:11:45 2021 +0300; vmalert: add support for `round_digits` param in datasource package (#1278)
51;4247168a;f6114345; Mon May 10 11:06:31 2021 +0300; vmalert: fix error when rule didn't start if restore failed (#1279)
50;9cdd4696;f6114345; Wed May 5 10:07:19 2021 +0300; vmalert: add flag to control behaviour on startup for state restore errors (#1265)
49;cdd1b064;f6114345; Mon May 3 14:14:13 2021 +0300; Update to OpenBSD 6.9 and VictoriaMetrics 1.59 (#1263)
48;477369b6;f6114345; Mon May 3 11:34:00 2021 +0300; adds stalePartsRemover (#1261)
47;0f988e5a;f6114345; Fri Apr 30 10:31:45 2021 +0300; vmalert: fix the typo in ApplyParams func (#1259)
46;afca7b43;f6114345; Fri Apr 30 10:01:05 2021 +0300; vmalert: use rule's `evaluationInterval` as `step` param by default (#1258)
45;f3a04828;f6114345; Fri Apr 30 09:46:03 2021 +0300; Vmalert: adjust `time` param for datasource queries according to `evaluationInterval` (#1257)
44;4e5a8811;f6114345; Thu Apr 29 10:10:24 2021 +0300; vmagent kubernetes_sd tests (#1253)
43;15609ee4;f6114345; Wed Apr 28 21:41:15 2021 +0100; changes vmalert Querier with per rule querier (#1249)
42;87018650;f6114345; Mon Apr 26 01:03:22 2021 +0300; vmalert: keep the returned timestamp when persisting recording rule (#1245)
41;d6f44977;f6114345; Sun Apr 25 09:34:28 2021 +0100; docs: update per tenant stats page (#1246)
40;9de0fa36;f6114345; Thu Apr 22 11:14:13 2021 +0300; fixed typo
39;9f9c99c8;f6114345; Tue Apr 20 11:41:07 2021 +0300; removed DS_Store files from VM_logo.zip (#1233)
38;6a81a89b;f6114345; Tue Apr 20 10:51:03 2021 +0300; adds query params support for vmauth urlPrefix (#1226)
37;b955fe00;f6114345; Mon Apr 19 13:33:21 2021 +0300; dashboard: use unit `short` for `Labels limit exceeded` panel (#1227)
36;f80156d9;f6114345; Mon Apr 19 13:28:41 2021 +0300; dashboard: fix avg GC duration expression (#1228)
35;650c143f;f6114345; Fri Apr 16 07:30:15 2021 +0100; removed MACOSX dirrectory from VM_logo.zip (#1224)
34;bfecd0fd;f6114345; Thu Apr 15 18:40:48 2021 +0100; Added some explanation to vmctl docs (#1217)
33;403a7b4a;f6114345; Wed Apr 14 12:45:22 2021 +0300; Grammar-correction (#1210)
32;294c8b74;f6114345; Wed Apr 14 12:44:26 2021 +0300; Grammar_correction (#1211)
31;e9ee2122;f6114345; Wed Apr 14 11:23:07 2021 +0300; [draft] per tenant statistic (#121)
30;77be3e3a;f6114345; Mon Apr 12 12:28:04 2021 +0300; improve docs for cli flags (#1202)
29;3ed113b3;f6114345; Sat Apr 10 19:52:33 2021 +0300; update vmgateway.md (#1201)
28;3d20fd20;f6114345; Sat Apr 10 15:46:53 2021 +0300; Allow specifying build date from a variable (#1200)
27;7644efae;f6114345; Sat Apr 10 15:46:08 2021 +0300; Docs update (#1199)
26;a9d76b06;f6114345; Sat Apr 10 13:24:18 2021 +0100; Improve documentation on OpenTSDB migration tool and fix a bug with hard offsets (#1198)
25;cd9786c2;f6114345; Thu Apr 8 20:58:06 2021 +0100; OpenTSDB migration to VictoriaMetrics (#1089)
24;162681e6;f6114345; Thu Apr 8 18:24:25 2021 +0300; add new alerts (#1195)
23;4ed8de62;f6114345; Thu Apr 8 18:19:08 2021 +0300; vmalert: document template functions and mention them in README (#1197)
22;c6a8ebb1;f6114345; Wed Apr 7 13:39:16 2021 +0300; docs: update docs ordering and formatting (#1192)
21;b59164cf;f6114345; Mon Apr 5 22:25:31 2021 +0300; fix access to nil *url.URL (#1180)
20;a4c6a3b3;f6114345; Sun Apr 4 01:29:54 2021 +0300; adds socks5 support for fasthttp client (#1178)
19;fdb89956;f6114345; Fri Apr 2 11:56:40 2021 +0300; Adds aws ECS credentials support (#1175)
18;db963205;f6114345; Wed Mar 31 17:42:08 2021 +0300; Add `vmutils-pure` target (#1163)
17;2af39a96;f6114345; Tue Mar 30 20:43:54 2021 +0300; deployment: Grafana version updated to 7.5.1 (#1161)
16;cfdb6762;f6114345; Mon Mar 29 12:38:03 2021 +0300; deployment: add new alert `TooHighChurnRate24h` (#1154)
15;b1e49bab;f6114345; Mon Mar 29 12:37:17 2021 +0300; Dashboards update (#1153)
14;1b7dc1e5;f6114345; Fri Mar 26 14:17:59 2021 +0300; Adds blocks drop (#1151)
13;29f9ef9b;f6114345; Tue Mar 23 15:35:01 2021 +0200; changes consul_service label value (#1143)
12;529d7be2;f6114345; Thu Mar 18 16:12:02 2021 +0200; changes metricsFind api (#1137)
11;18cfc4be;f6114345; Wed Mar 17 00:03:06 2021 +0200; Adds udp6 support for ingest servers (#1134)
10;b1aa8c3d;f6114345; Mon Mar 15 21:10:47 2021 +0200; adds fake response for telegraph queries (#1130)
9;b457739f;f6114345; Mon Mar 15 12:04:24 2021 +0200; Single dashboard (#1126)
8;238fe7d4;f6114345; Thu Mar 11 11:39:14 2021 +0200; Update BestPractices.md (#1123)
7;d212f35a;f6114345; Tue Mar 9 20:49:50 2021 +0000; Fixing examples of external.alert.source in documentation (#1120)
6;ad34f424;f6114345; Tue Mar 9 18:51:00 2021 +0200; Changes tlsConfig init for proxy connections (#1121)
5;433fff00;f6114345; Tue Mar 9 12:26:23 2021 +0200; duplicate timeseries fix for prometheus_buckets function (#1119)
4;364fdf4a;f6114345; Tue Mar 9 09:18:19 2021 +0200; spelling fix: adjacent (#1115)
3;621bf037;f6114345; Wed Mar 3 10:51:51 2021 +0200; Vmagent docs upd (#1104)
2;e154f4a6;f6114345; Wed Mar 3 10:43:39 2021 +0200; Fix ingress discovery api (#1110)
1;f4f8f218;f6114345; Wed Mar 3 07:46:10 2021 +0000; vmalert: docs update - status endpoint needs group ID, not group name (#1106)
0;f4f8f218;f4f8f218; Wed Mar 3 07:46:10 2021 +0000; vmalert: docs update - status endpoint needs group ID, not group name (#1106)